Time(h)/Currency(c);Description
2019,96.34;Price after 84 days in Legacy:
2043,95.73;Price after 85 days in Legacy:
2067,94.93;Price after 86 days in Legacy:
2091,93.95;Price after 87 days in Legacy:
2115,92.83;Price after 88 days in Legacy:
2139,91.78;Price after 89 days in Legacy:
2163,90.92;Price after 90 days in Legacy:
2187,90.31;Price after 91 days in Legacy:
2211,89.69;Price after 92 days in Legacy:
2235,89.29;Price after 93 days in Legacy:
2259,88.98;Price after 94 days in Legacy:
2283,88.72;Price after 95 days in Legacy:
2307,88.56;Price after 96 days in Legacy:
2331,88.64;Price after 97 days in Legacy:
2355,88.84;Price after 98 days in Legacy:
2379,89.19;Price after 99 days in Legacy:
2403,89.62;Price after 100 days in Legacy:
2427,90.12;Price after 101 days in Legacy:
2451,90.46;Price after 102 days in Legacy:
2475,90.51;Price after 103 days in Legacy:
2499,90.59;Price after 104 days in Legacy:
2523,90.65;Price after 105 days in Legacy:
2547,90.61;Price after 106 days in Legacy:
2571,90.48;Price after 107 days in Legacy:
2595,90.26;Price after 108 days in Legacy:
2619,89.88;Price after 109 days in Legacy:
2643,89.5;Price after 110 days in Legacy:
2667,89.03;Price after 111 days in Legacy:
2691,88.49;Price after 112 days in Legacy:
2715,87.73;Price after 113 days in Legacy:
2739,86.93;Price after 114 days in Legacy:
2763,86.19;Price after 115 days in Legacy:
2787,85.48;Price after 116 days in Legacy:
2811,84.78;Price after 117 days in Legacy:
2835,84.14;Price after 118 days in Legacy:
2859,83.57;Price after 119 days in Legacy:
2883,83.02;Price after 120 days in Legacy:
2907,82.52;Price after 121 days in Legacy:
2931,82.08;Price after 122 days in Legacy:
2955,81.75;Price after 123 days in Legacy:
2979,81.58;Price after 124 days in Legacy:
3003,81.48;Price after 125 days in Legacy:
3027,81.43;Price after 126 days in Legacy:
3051,81.36;Price after 127 days in Legacy:
3075,81.28;Price after 128 days in Legacy:
3099,81.23;Price after 129 days in Legacy:
3123,81.17;Price after 130 days in Legacy:
3147,81.14;Price after 131 days in Legacy:
3171,81.07;Price after 132 days in Legacy:
3195,80.98;Price after 133 days in Legacy:
3219,80.91;Price after 134 days in Legacy:
3243,80.84;Price after 135 days in Legacy:
3267,80.68;Price after 136 days in Legacy:
3291,80.54;Price after 137 days in Legacy:
3315,80.41;Price after 138 days in Legacy:
3339,80.32;Price after 139 days in Legacy:
3363,80.24;Price after 140 days in Legacy:
3387,80.16;Price after 141 days in Legacy:
3411,80.14;Price after 142 days in Legacy:
3435,80.13;Price after 143 days in Legacy:
3459,80.22;Price after 144 days in Legacy:
3483,80.41;Price after 145 days in Legacy:
3507,80.73;Price after 146 days in Legacy:
3531,81.3;Price after 147 days in Legacy:
3555,82.11;Price after 148 days in Legacy:
3579,83.01;Price after 149 days in Legacy:
21,22.8;Price after 0 day in Legacy HC:
3,22.8;Price after 0 day in Legacy HC:
27,21.76;Price after 1 day in Legacy HC:
51,21.3;Price after 2 days in Legacy HC:
75,21.12;Price after 3 days in Legacy HC:
99,21.35;Price after 4 days in Legacy HC:
123,21.73;Price after 5 days in Legacy HC:
147,21.89;Price after 6 days in Legacy HC:
171,21.93;Price after 7 days in Legacy HC:
195,21.93;Price after 8 days in Legacy HC:
219,21.94;Price after 9 days in Legacy HC:
243,21.95;Price after 10 days in Legacy HC:
267,21.9;Price after 11 days in Legacy HC:
291,21.85;Price after 12 days in Legacy HC:
315,22.12;Price after 13 days in Legacy HC:
339,22.4;Price after 14 days in Legacy HC:
363,22.7;Price after 15 days in Legacy HC:
387,22.98;Price after 16 days in Legacy HC:
411,23.47;Price after 17 days in Legacy HC:
435,24.15;Price after 18 days in Legacy HC:
459,24.89;Price after 19 days in Legacy HC:
483,25.65;Price after 20 days in Legacy HC:
507,26.4;Price after 21 days in Legacy HC:
531,27.15;Price after 22 days in Legacy HC:
555,27.88;Price after 23 days in Legacy HC:
579,28.64;Price after 24 days in Legacy HC:
603,29.42;Price after 25 days in Legacy HC:
627,30.48;Price after 26 days in Legacy HC:
651,31.57;Price after 27 days in Legacy HC:
675,32.55;Price after 28 days in Legacy HC:
699,33.24;Price after 29 days in Legacy HC:
723,33.83;Price after 30 days in Legacy HC:
747,34.57;Price after 31 days in Legacy HC:
771,35.49;Price after 32 days in Legacy HC:
795,36.67;Price after 33 days in Legacy HC:
819,37.79;Price after 34 days in Legacy HC:
843,38.85;Price after 35 days in Legacy HC:
867,39.76;Price after 36 days in Legacy HC:
891,40.56;Price after 37 days in Legacy HC:
915,41.1;Price after 38 days in Legacy HC:
939,41.62;Price after 39 days in Legacy HC:
963,42.18;Price after 40 days in Legacy HC:
987,42.77;Price after 41 days in Legacy HC:
1011,43.36;Price after 42 days in Legacy HC:
1035,43.79;Price after 43 days in Legacy HC:
1059,44.02;Price after 44 days in Legacy HC:
1083,44.04;Price after 45 days in Legacy HC:
1107,44.23;Price after 46 days in Legacy HC:
1131,44.6;Price after 47 days in Legacy HC:
1155,45.44;Price after 48 days in Legacy HC:
